Year,mood,mood_count,pct_of_year
2014,sad,80,26.8
2014,rock,68,22.7
2014,remix,58,19.4
2014,night,47,15.7
2014,love,46,15.4
2015,sad,72,24.3
2015,rock,68,23.0
2015,remix,60,20.3
2015,night,51,17.2
2015,love,45,15.2
2016,sad,68,22.4
2016,rock,65,21.5
2016,remix,65,21.5
2016,night,58,19.1
2016,love,47,15.5
2017,rock,72,26.2
2017,sad,64,23.3
2017,remix,60,21.8
2017,night,42,15.3
2017,love,37,13.5
2018,sad,51,24.6
2018,rock,45,21.7
2018,remix,44,21.3
2018,love,38,18.4
2018,night,29,14.0
2019,sad,61,29.8
2019,night,39,19.0
2019,remix,36,17.6
2019,rock,35,17.1
2019,love,34,16.6
2020,remix,40,34.5
2020,night,31,26.7
2020,love,31,26.7
2020,sad,14,12.1
